"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"432","IOSoccer","Jun 8, 2018","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","IOSoccer Team","IOSoccer Team"
"433","3on3 FreeStyle: Rebound","Jul 14, 2020","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Joycity","Joycity"
"1884","Moxter","Dec 6, 2024","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Aisten Lab, Dalton Bastos","Aisten Lab"
"3668","Drift racing car","Sep 29, 2022","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Musa CANDIR","Musa CANDIR"
"3842","Battle Ram","Jan 5, 2023","$3.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Wloop777, Anatoliy Loginovskikh","khukhrovr  "
"3853","Slipstream 5000","Oct 9, 2015","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Gremlin Interactive, The Software Refinery","Funbox Media Ltd"
"3935","Blast Zone! Tournament","Feb 28, 2019","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Victory Lap Games","Victory Lap Games"
"3951","Worms Crazy Golf","Oct 19, 2011","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Team17 Digital Ltd","Team17 Digital Ltd"
"3953","Perfect Golf","May 3, 2016","$34.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","PERFECT PARALLEL","Perfect.Golf, Inc."
"3960","Mind Spheres","Jul 8, 2016","$0.49","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Microblast Games","SA Industry"
"3988","Homebrew - Patent Unknown","Nov 14, 2014","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Copybugpaste","Copybugpaste"
"3994","Depth Hunter 2: Deep Dive","Aug 20, 2014","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Biart Company LLC","Biart Company LLC"
"4009","Teddy Floppy Ear - The Race","May 22, 2015","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Forever Entertainment S. A.","Forever Entertainment S. A."
"4010","AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome","Nov 23, 2011","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Dejobaan Games, LLC, Owlchemy Labs","Dejobaan Games, LLC"
"4012","Headsnatchers","Nov 7, 2019","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","IguanaBee","Iceberg Interactive"
"4013","Jet Racing Extreme: The First Encounter","Jul 14, 2015","$3.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Real Dynamics","Real Dynamics"
"4014","电竞俱乐部/ESports Club","Jun 30, 2017","$8.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Hangzhou Xinlan Network Technology Co.,Ltd.","Hangzhou Xinlan Network Technology Co.,Ltd."
"4039","FURIDASHI: Drift Cyber Sport","Nov 2, 2017","$11.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Drift Physics Crew","Drift Physics Crew"
"4050","WE ARE FOOTBALL","Jun 10, 2021","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Winning Streak Games","THQ Nordic"
"4052","EA SPORTS PGA TOUR","Apr 6, 2023","$13.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Electronic Arts - Tiburon","Electronic Arts"
"4055","Eastside Hockey Manager","Dec 1, 2015","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Sports Interactive","SEGA"
"4060","Disc Jam","Mar 7, 2017","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","High Horse Entertainment","High Horse Entertainment"
"4061","MXGP - The Official Motocross Videogame","Mar 28, 2014","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Milestone S.r.l.","Plug In Digital, Milestone S.r.l."
"4069","Ice Lakes","Apr 19, 2016","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Iceflake Studios","Paradox Interactive"
"4073","Blood Bowl: Chaos Edition","Oct 11, 2012","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Cyanide Studios","Cyanide Studios"
"4081","Barro 2020","Nov 1, 2019","$0.49","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SC Jogos","SC Jogos"
"4082","Creed: Rise to Glory","Sep 25, 2018","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Survios","Survios"
"4090","STRIDE","Jun 10, 2022","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Joy Way","Joy Way"
"4093","Rollerdrome","Aug 16, 2022","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Roll7","2K"
"4096","TRYP FPV: Drone Racer Simulator","Jun 30, 2022","$16.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","UNDEAD BATTERY","UNDEAD BATTERY"
"4099","Automobilista","Feb 29, 2016","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Reiza Studios","Reiza Studios"
"4101","Harry Potter: Quidditch Champions","Sep 3, 2024","$29.99","N/A (N/A)","200,000 .. 500,000","00:36 (00:12)","Unbroken Studios","Warner Bros. Games"
"4103","Kabounce","May 29, 2018","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Stitch Heads Entertainment","Stitch Heads Entertainment"
"4104","Kopanito All-Stars Soccer","Nov 16, 2016","$5.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Merixgames","Merixgames"
"4105","Blood Bowl 3","Feb 23, 2023","$29.99","N/A (N/A)","200,000 .. 500,000","00:02 (00:01)","Cyanide Studio","Nacon"
"4109","Pool Nation","Oct 18, 2013","$6.99","N/A (N/A)","200,000 .. 500,000","00:02 (00:00)","Cherry Pop Games","Cherry Pop Games"
"4111","Madden NFL 21","Aug 28, 2020","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Electronic Arts","Electronic Arts"
"4113","KartKraft","Nov 1, 2018","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Motorsport Games","Motorsport Games"
"4114","Tape to Tape","May 3, 2023","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Excellent Rectangle","Excellent Rectangle"
"4116","WWE 2K19","Oct 8, 2018","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Visual Concepts, Yuke's Co., LTD","2K"
"4119","RUMBLE","Sep 23, 2022","$20","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Buckethead Entertainment","Buckethead Entertainment"
"4121","ScooterFlow","Nov 29, 2021","$13.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Dillon Earle","UncannyKiwi"
"4123","Eleven Table Tennis","Jun 20, 2016","$29.99","N/A (N/A)","200,000 .. 500,000","00:16 (00:05)","For Fun Labs","For Fun Labs"
"4124","Walkabout Mini Golf VR","Jul 15, 2021","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Mighty Coconut","Mighty Coconut"
"4126","Madden NFL 23","Aug 18, 2022","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Tiburon","Electronic Arts"
"4131","Football, Tactics & Glory","Jun 1, 2018","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Creoteam","Creoteam, Toplitz Productions"
"4133","Robot Roller-Derby Disco Dodgeball","Feb 19, 2015","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Erik Asmussen","Erik Asmussen"
"4134","The Thrill of the Fight - VR Boxing","Jul 1, 2016","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Sealost Interactive LLC","Sealost Interactive LLC"
"4135","Madden NFL 22","Aug 19, 2021","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Tiburon","Electronic Arts"
"4137","Uncrashed : FPV Drone Simulator","Sep 1, 2021","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Louis Rochette","Louis Rochette"
"4139","Call of the Wild: The Angler","Aug 31, 2022","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Expansive Worlds","Avalanche Studios"
"4140","GRID","Oct 10, 2019","N/A","N/A (N/A)","200,000 .. 500,000","00:09 (00:03)","Codemasters","Codemasters, Electronic Arts"
"4141","PGA TOUR 2K23","Oct 13, 2022","$59.99","N/A (N/A)","200,000 .. 500,000","02:56 (01:57)","HB Studios","2K"
"4143","art of rally","Sep 23, 2020","$24.99","N/A (N/A)","200,000 .. 500,000","01:41 (01:07)","Funselektor Labs Inc.","Funselektor Labs Inc."
"4146","WWE 2K24","Mar 7, 2024","$59.99","N/A (N/A)","200,000 .. 500,000","10:38 (11:25)","Visual Concepts","2K"
"4147","PIPE by BMX Streets","Mar 15, 2018","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Mash Games","Mash Games"
"4148","WWE 2K23","Mar 16, 2023","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Visual Concepts","2K"
"4149","Lethal League Blaze","Oct 24, 2018","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Team Reptile","Team Reptile"
"4152","Way of the Hunter","Aug 16, 2022","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Nine Rocks Games","THQ Nordic"
"4153","WWE 2K22","Mar 10, 2022","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Visual Concepts","2K"
"4156","CarX Street","Aug 29, 2024","$19.99","N/A (N/A)","200,000 .. 500,000","22:50 (13:47)","CarX Technologies, LLC","CarX Technologies, LLC"
"4158","House of Detention","May 29, 2020","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Aniki, Male Union ♂","Dungeon Master"
"4161","Automobilista 2","Mar 31, 2020","$39.99","N/A (N/A)","200,000 .. 500,000","00:28 (00:09)","Reiza Studios","Reiza Studios"
"4170","NBA 2K25","Oct 28, 2024","$19.99","N/A (N/A)","200,000 .. 500,000","10:12 (11:39)","Visual Concepts","2K"
"23","Super Mega Baseball 2","Apr 30, 2018","N/A","N/A (N/A/83%)","100,000 .. 200,000","00:00 (00:00)","Metalhead Software Inc.","Electronic Arts"
"35","AaAaAA!!! - A Reckless Disregard for Gravity","Sep 3, 2009","$9.99","N/A (N/A/81%)","100,000 .. 200,000","00:00 (00:00)","Dejobaan Games, LLC","Dejobaan Games, LLC"
"45","Cursed to Golf","Aug 18, 2022","$19.99","N/A (N/A/80%)","100,000 .. 200,000","00:00 (00:00)","Chuhai Labs","Thunderful Publishing"
"48","Super Mega Baseball 3","May 13, 2020","$44.99","N/A (N/A/80%)","100,000 .. 200,000","00:00 (00:00)","Metalhead Software Inc.","Electronic Arts"
"49","Lonely Mountains: Downhill","Oct 23, 2019","$19.99","N/A (N/A/80%)","100,000 .. 200,000","00:03 (00:01)","Megagon Industries","Megagon Industries"
"62","OlliOlli","Jul 22, 2014","$12.99","N/A (N/A/78%)","100,000 .. 200,000","00:00 (00:00)","Roll7, General Arcade","Devolver Digital"
"84","Blood Bowl - Legendary Edition","Oct 28, 2010","$9.99","N/A (N/A/73%)","100,000 .. 200,000","00:00 (00:00)","Cyanide Studios","Cyanide Studios"
"94","Pro Cycling Manager 2017","Jun 15, 2017","$9.99","N/A (N/A/71%)","100,000 .. 200,000","00:00 (00:00)","Cyanide Studio","Focus Entertainment"
"96","The Golf Club","Aug 19, 2014","N/A","N/A (N/A/70%)","100,000 .. 200,000","00:00 (00:00)","HB Studios","HB Studios"
"104","Bloodsports.TV","Mar 30, 2015","$9.99","N/A (N/A/69%)","100,000 .. 200,000","00:00 (00:00)","Toadman Interactive, Fatshark","Fatshark"
"107","FIM Speedway Grand Prix 15","Nov 30, 2015","N/A","N/A (N/A/68%)","100,000 .. 200,000","00:00 (00:00)","SoftPlanet","SoftPlanet"
"109","RIDE","Mar 27, 2015","$19.99","N/A (N/A/68%)","100,000 .. 200,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"114","Pro Cycling Manager 2019","Jun 27, 2019","$9.99","N/A (N/A/66%)","100,000 .. 200,000","00:00 (00:00)","Cyanide Studio","Nacon"
"116","AO Tennis 2","Jan 9, 2020","$9.99","N/A (N/A/65%)","100,000 .. 200,000","08:16 (02:45)","Big Ant Studios","Nacon"
"126","Gravel","Feb 27, 2018","$19.99","N/A (N/A/62%)","100,000 .. 200,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"135","Urban Trial Freestyle","Sep 18, 2013","$6.99","N/A (N/A/58%)","100,000 .. 200,000","00:05 (00:01)","Tate Multimedia","Tate Multimedia"
"140","Dangerous Golf","Jun 2, 2016","$19.99","N/A (N/A/54%)","100,000 .. 200,000","00:00 (00:00)","Three Fields Entertainment","Three Fields Entertainment"
"141","Speedball 2 HD","Dec 5, 2013","$9.99","N/A (N/A/53%)","100,000 .. 200,000","00:00 (00:00)","Bitmap Brothers, Vivid Games","Rebellion"
"324","Protoball","Sep 8, 2021","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Studio Z 3D","Studio Z 3D"
"335","Immersion Chess","May 15, 2017","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Immersion","Immersion"
"346","Dream Golf VR","Nov 3, 2017","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Isaac Stearns","Isaac Stearns"
"361","DayBreak Online","Jun 13, 2019","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Global Games","Global Games"
"368","Jackpot Poker by PokerStars","Mar 20, 2017","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","PokerStars Mobile Limited","PokerStars Mobile Limited"
"373","Incline","Oct 9, 2017","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Homewreckers Studio","Homewreckers Studio"
"374","Pongarena","Jan 31, 2022","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Dreamirl","Dreamirl"
"376","NOKBAK","Jun 13, 2017","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","BYU Animation -  Class of 2017","BYU Center for Animation"
"377","War Blade","Jan 25, 2019","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Tvr Games","Tvr Games"
"378","AXIOM SOCCER","Apr 11, 2019","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Earthbound Games Ltd.","Earthbound Games Ltd."
"379","RoShamBo","Jul 14, 2016","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Blam! Games LLC","Blam! Games LLC"
"382","PLANES ATTACK","May 6, 2019","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","SRS Games","SRS Games"
"384","Football Manager 2019 Touch","Nov 2, 2018","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Sports Interactive","SEGA"
"385","Soccer Manager 2015","Jul 16, 2015","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
"389","The Fishing Club 3D","Mar 23, 2017","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Robot Riot UG (haftungsbeschränkt)","Robot Riot UG (haftungsbeschränkt)"
"391","Swing Dunk","Sep 15, 2021","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Bucketplay Inc.","Bucketplay Inc."
"396","Rekt: Crash Test","Dec 3, 2020","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Little Chicken Game Company","No Gravity Games"
"397","Riding Club Championships","Sep 27, 2016","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Artplant","Artplant"
"406","Epigenesis","Aug 1, 2014","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Dead Shark Triplepunch","Dead Shark Triplepunch"
"411","Circle of Sumo: Online Rumble!","Oct 17, 2020","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Yonder, Strelka Games","Strelka Games"
"431","Slapshot","Mar 8, 2019","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Oddshot Games","Oddshot Games"
"1072","RagDoll MadDoll","Oct 19, 2020","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Team Booky","Dystopian Edge Publishing"
"1077","VR Game Station","Jun 14, 2021","$10.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Batuhan Güner","Batuhan Güner"
"1078","Stack Defense","May 21, 2021","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Area 1","Area 1"
"1225","Zephyr","Feb 5, 2021","$6.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","New World Computing","Ziggurat"
"1425","Astro Dash","Dec 5, 2020","$1.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","RETROPE STUDIOS","MMUK GAMES"
"1437","DYNAMIC","Nov 21, 2022","$1.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Gallocus","Gallocus"
"1569","BATTLEWORKS VR | Online Physics Based PVP","Jan 19, 2024","$24.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Ritual Reality","Ritual Reality"
"1622","Age of the Duel","Jun 2, 2023","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Jakob Delzer","Indie"
"1708","Zero-G-Racer : Drone FPV arcade game","May 1, 2023","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Zero-G-Racer","Zero-G-Racer"
"1712","Endless Furry Blackjack","Mar 23, 2021","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Tegridy Made Games","Tegridy Made Games"
"1792","Rally 9000","Mar 30, 2023","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Tegridy Made Games","Tegridy Made Games"
"2137","SLASH OF BULLET","Apr 23, 2021","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","kan.kikuchi","kan.kikuchi"
"2218","Big Bash Boom","Dec 20, 2018","$39.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Big Ant Studios","Big Ant Studios"
"2346","Skader","Apr 20, 2023","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","DreamTeam Mobile","DreamTeam Mobile"
"2849","Project Drift","May 11, 2023","$1.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Integer games","Integer games"
"2864","Drums Hero PC","Jun 21, 2017","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Player Of Music Technology Co.,Ltd","Player Of Music Technology Co.,Ltd"
"2891","Casey Powell Lacrosse 18","Apr 17, 2018","$49.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Big Ant Studios","Crosse Studios"
"2983","Day of the Dino: Survival","Oct 10, 2022","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Disco Entertainment","Disco Entertainment"
"3146","""Glow Ball"" - The billiard puzzle game","Jul 20, 2015","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","WTFOMGames","WTFOMGames"
"3299","Sky to Fly: Soulless Leviathan","Jul 22, 2016","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","AIVIK LLC","Absolutist Ltd."
"3387","Sky To Fly: Faster Than Wind","Mar 25, 2016","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","AIVIK LLC","Absolutist Ltd."
"3602","Elysium: Blood Games","Jan 5, 2016","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","SimProse Studios","Conglomerate 5"
"3643","HyperBrawl Tournament","Oct 20, 2020","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Milky Tea Studios","Milky Tea Studios"
"3664","Gnumz: Masters of Defense","Dec 21, 2015","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Creobit","8Floor"
"3717","LocoSoccer Classic","Dec 9, 2015","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Startreming Games","TheGamePublisher.com"
"3720","Fancy Skiing VR","Aug 6, 2016","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","哈视奇科技","哈视奇科技"
"3728","Mahjong World Contest (麻将)","Oct 7, 2016","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Creobit","8Floor"
"3776","Day D: Tower Rush","Jul 7, 2016","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Creobit","8Floor"
"3821","MechDefender - Tower Defense","Mar 3, 2020","$0.99","N/A (N/A)","100,000 .. 200,000","04:25 (02:56)","Atomic Fabrik, Cristian Manolachi","Conglomerate 5"
"3826","Axis Football 2015","Jul 15, 2015","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Axis Games","Axis Games"
"3829","Iron Sea Defenders","Sep 9, 2016","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Creobit","8Floor"
"3865","#DRIVE Rally","Apr 16, 2025","$19.99","N/A (N/A)","100,000 .. 200,000","19:02 (19:02)","Pixel Perfect Dude","Pixel Perfect Dude"
"3891","ROCKETSROCKETSROCKETS","May 1, 2015","$6.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Radial Games Corp, Loren Bednar, Dr. Kimberly Voll, Lindsay Jorgensen","Radial Games Corp"
"3904","CrashMetal - Cyberpunk","Dec 17, 2020","$0.49","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","JDM4iK Games","SA Industry, BATYSTORE LTD"
"3905","Esports Life Tycoon","Sep 3, 2020","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","UPLAY Online","UPLAY Online"
"3909","Shufflepuck Cantina Deluxe","Dec 6, 2013","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Agharta Studio","Agharta Studio"
"3917","Drift Horizon Online","Mar 23, 2017","$0.49","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","JDM4iK Games","SA Industry, BATYSTORE LTD"
"3934","Wordle","Apr 12, 2021","$0.38","N/A (N/A)","100,000 .. 200,000","00:01 (00:00)","PreoNus Games","Gigantum Games"
"3939","Revhead","Mar 9, 2017","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Creative Pudding Hungary Llc.","Creative Pudding Hungary Llc."
"3942","New Star Soccer 5","Sep 27, 2012","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","New Star Games","New Star Games"
"3946","River City Super Sports Challenge ~All Stars Special~","Dec 17, 2015","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Arc System Works","H2 Interactive Co., Ltd."
"3947","Age of Gladiators","Feb 25, 2016","$1.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Creative Storm Entertainment","Creative Storm Entertainment, Vincennes Group"
"3955","You Suck at Parking - Complete Edition","Sep 14, 2022","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Happy Volcano","Curve Games"
"3959","League Manager 2022","Mar 24, 2022","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","AG SOFT","AG SOFT"
"3964","Head Goal: Soccer Online","Aug 18, 2017","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Unusualsoft","Unusualsoft"
